以下被三个反引号包含的是一篇新闻：
```
作者：发布：2024-04-01点击量：来源：继续教育学院
    为贯彻落实党中央、国务院和省关于推进技能人才评价制度改革部署要求，形成科学化、社会化、多元化的技能人才评价机制，根据鄂人社函〔2021〕13号《湖北省人力资源和社会保障厅关于进一步推进职业技能等级认定工作的通知》为统筹全面推行职业技能等级认定工作。现将报名有关事项通知如下：一、开展职业技能等级认定的职业（工种）制图员、电工、工业机器人系统操作员二、报考条件2021级、2022级学生可申报三级/高级工。三、报考事项1、报名时间：4月1日—4月10日。2、报名地点：凡需参加职业技能认定考试的考生，以班级为单位到各辅导员处报名。3、考试时间：4月27日（如有变动，另行通知）。4、费用标准：依据鄂人社发〔2018〕9号文件《省人力资源和社会保障厅关于印发<湖北省职业技能鉴定考试费实施管理办法>通知》要求，三级/高级工报考费320元。费用以班级为单位统一收取，连同缴费名单交至学校财务处。四、认定方式分为理论知识考试（闭卷考试）和技能操作考核，技能操作考核采用现场实际操作方式进行（报考工种不同，操作考核方式不同）。五、报名资料纸质版材料：院校申报考生花名册电子版材料：考生信息导入表、院校申报考生花名册、一寸电子登记照照片、身份证正、反面（编辑在一个文档中）提示：报名资料以班级为单位。一寸电子登记照片均以姓名+班级+身份证号码命名（例如：张三_4203155664）六、证书发放时间2021级考试结束后即开展证书报批工作，年内可拿证。2022级考试结束后9月开展证书报批工作，最晚次年初可拿证。继续教育学院 机电工程学院2024年4月1日

附件【院校申报考生花名册.xls】已下载次
附件【考生信息导入模板.xls】已下载次

上一篇：关于开展室内装饰设计师等职业技能等级认定考试报名的通知下一篇：长江工程职业技术学院2024年专项公开招聘工作人员资格复审公告二官方微信公众号团委微信公众号招就处微信公众号
长江工程职业技术学院版权所有　鄂ICP备13002099号-1　鄂ICP备13002099号-2　鄂公网安备 42011502000287长江工程职业技术学院版权所有　鄂ICP备13002099号-1　鄂ICP备13002099号-2　鄂公网安备 42011502000287
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
    * 金融
    * 市场监督
    * 企业
    * 财政
        * 审计
        * 会计
    * 税务
    * 证券
        * 股票
        * 债券
        * 基金
        * 期货
    * 银行
    * 收藏
* 房产
    * 公积金
    * 房企
    * 租房
    * 购房
        * 二手房
        * 新房
    * 家居
        * 装修
    * 政策性住房
        * 政策性住房
        * 公租房
        * 廉租房
        * 经适房
        * 共有产权房
        * 限价房
    * 住房改革
* 教育
    * 教育政策
    * 教育资讯
    * 教师
        * 教师资格
        * 教师待遇
    * 升学考试
        * 入学
        * 幼升小
        * 小升初
        * 中考
        * 学业水平等级考试
        * 高考
        * 专升本
        * 研究生考试
        * 学位认证
    * 学前教育
        * 幼儿园
