以下被三个反引号包含的是一篇新闻：
```
中国研究生电子设计竞赛是由教育部学位与研究生教育发展中心指导，中国科协青少年科技中心、中国电子学会联合主办的“中国研究生创新实践系列大赛”主题赛事之一，是面向全国在读研究生的一项团体性电子设计创新创意实践活动，是全国高校及科研院所积极参与的主流赛事。其目的在于推动信息与机械电子类研究生培养模式改革与创新，培养研究生创新精神、系统实现能力、团队协作精神，提高研究生工程实践能力，推进人才培养和技术研发的国际化，为优秀人才培养搭建交流平台、成果展示平台和产学研用对接平台。为了选拔、推荐优秀学生及作品参加第十九届中国研究生电子设计竞赛，我校特举办第三届研究生电子设计竞赛，具体安排如下。二、活动名称湖北大学第三届研究生电子设计竞赛三、组织机构主办单位：党委研究生工作部、研究生院承办单位：微电子学院协办单位：人工智能学院、计算机与信息工程学院、网络空间安全学院四、参赛对象正式注册的在校硕士研究生、博士研究生以及已获本校研究生入学资格的应届本科毕业生（需提供学校保研、录取证明）。五、参赛要求1.每支参赛队由指导老师、队长和队员组成。在同一个参赛部分（技术竞赛或商业计划书专项赛）中，指导老师一名或两名，队长一名，队员一名至二名，每位指导老师至多指导两支参赛队，每位参赛队员只能加入一支参赛队。2.参赛队伍成员须是对参赛作品有实质贡献的个体，不允许成员挂名。如发现挂名现象，将取消挂名参赛者参赛资格，请各位参赛者相互监督。3.组队时，由队长确认指导老师顺序和队员顺序，此顺序依据参赛贡献大小确定。获奖证书将严格按照组队顺序制作，不再确认和更改。六、时间安排报名表提交截止时间：2024年4月20日作品提交截止时间：2024年5月12日初赛评审时间：2024年5月13日—5月17日决赛现场答辩时间：2024年5月下旬，具体时间待定七、参赛说明1.竞赛分为技术竞赛和商业计划书专项赛两大部分，两部分竞赛相互独立，组队、报名、评审、奖励工作均分开进行，互不影响。2.技术竞赛采用企业命题和开放命题相结合的方式进行，其中开放式命题分为以下八个参赛方向，参赛队可自行选择参赛方向：(1)电路与嵌入式系统类，包括但不限于针对某一功能应用所开展的具有较强创新创意的电子电路软硬件设计、终端设备或嵌入式系统实现等，如基于FPGA、DSP、MCU、嵌入式系统等开发的软硬件系统、智能硬件、新型射频天线、并行处理系统、仪器仪表等；(2)机电控制与智能制造类，包括但不限于实现自动控制与自主运行的创新创意软硬件系统与电气自动化系统等，如机器人，飞行器，智能车，工业自动化，电气自动化传感器、设备或系统，电能变换技术、电力电子与电力传动、电机控制技术等；(3)通信与网络技术类，包括但不限于基于各种通信及网络技术研究开发的创新创意通信网络应用模块或系统，如网络安全、无线通信、光纤通信、互联网、物联网、空间信息网、水下通信网络、工业控制网络、边缘计算等通信或网络设备、系统或软件等；(4)信息感知系统与应用类，包括但不限于光电感知、传感器、微纳传感器与微机电系统、空间探测等传感与信息获取类软硬件系统，如工业传感、生物传感、生态环境传感、光电探测、遥感探测、定位导航等系统的设计与实现等；(5)信号和信息处理技术与系统，包括但不限于视频、图像、语音、文本、频谱信号处理和信息处理、特征识别，以及信号检测及对抗的软硬件系统，如安防监控、音视频编解码、网络文本搜索与处理、雷达信号处理、信息对抗系统等；(6)人工智能类，包括但不限于自然语言处理、机器视觉、深度学习、机器学习、大数据处理、群体智能、决策管理等技术的软硬件系统或智能应用，如：智能机器人、智慧城市、智能医疗、智能安防、自动驾驶、智慧家居等；(7)技术探索与交叉学科类，包括但不限于基于新材料、新器件、新工艺、新设计等构建的新型电子信息类软硬件系统，如面向生命健康、艺术创造、环境生态、清洁能源等的新型传感器、电子电路、处理器、通信网络设备、信息处理器以及应用系统等。(8)华为6G先进无线技术探索，包括但不限于用以构建及拓展6G愿景、应用及需求的先进无线网络创意（含支撑技术、模块或系统），如面向绿色节能、超高吞吐、超低时延、超高可靠、超远覆盖、海量连接、极简架构、智慧互联、通感一体、内生AI及原生可信的方案、设备、系统或软件。企业命题可参考“兆易创新杯”第十九届中国研究生电子设计竞赛企业命题内容自行选取。企业命题详情见官方介绍：https://cpipc.acge.org.cn/cw/preview/6/2c9080158e2ad864018e4160688306f33.技术竞赛要求参赛队制作符合设计方案的演示实物，向组委会提交的参赛文件为技术论文、演示视频和作品照片的电子文件。4.商业计划书专项赛中涉及的作品可以是已实现功能的实物，也可以是未实现功能的概念产品，要求提交的参赛文件为作品介绍PPT和商业计划书的电子文件。八、竞赛形式大赛分为初赛、决赛两个阶段。初赛形式为材料评审。竞赛组织方组织评委对提交的参赛作品进行初赛评审筛选，发布决赛名单。决赛形式为现场答辩。各参赛队伍以PPT的形式参与现场答辩，评委根据表现现场评分，评分细则将在竞赛公告群中公布。本届大赛设置团队一等奖、二等奖、三等奖若干。奖项数量，根据提交参赛作品的数量另行确定。九、作品要求1.技术竞赛技术论文内容建议包括但不限于以下内容：(1)作品难点与创新；(2)方案论证与设计；(3)原理分析与硬件电路图；(4)软件设计与流程；(5)系统测试与分析；(6)总结。不同类型作品可根据实际情况作相应调整，论文字数8000-10000字为宜。具体格式要求参见湖北大学研究生电子设计竞赛技术论文格式要求（附件2）。参赛作品演示视频及演示PPT，视频分辨率不小于640X480，大小不超过100M，时长不超过15分钟，格式为MP4。视频内容应包括作品原理及创新点、结构介绍、功能演示等三部分。2.商业计划书专项赛作品介绍PPT内容应包括：（1）作品意义及创新点；（2）作品原理及设计方案；（3）作品形象及功能模拟。如已有作品实物，需一并提供参赛作品演示视频。商业计划书内容建议包括但不限于以下内容：（1）项目意义；（2）团队介绍；（3）产品内容；（4）行业及市场情况；（5）营销策略；（6）融资说明；（7）财务计划；（8）风险控制；（9）项目实施难度。具体格式要求参见湖北大学研究生电子设计竞赛商业计划书模板（附件3）。十、作品提交及咨询方式将参赛作品技术论文、演示视频、PPT、展示照片的电子档文件打包在一个文件夹中并压缩，命名为“XX学院-XXX(组长姓名)-XXXX（题目）-技术竞赛/商业计划书(二选一)”并以邮件形式发到指定邮箱（作品解压后必须可直接查看和使用）即可完成作品提交。请有参赛意向的同学加入“湖北大学研究生电子设计竞赛交流群”（QQ：792440506）。竞赛期间相关通知将在QQ群中发布。报名表（附件1）及作品提交邮箱：hubu_lushi@hubu.edu.cn 

附件【附件1：湖北大学研电赛-报名表.docx】已下载次
附件【附件2：湖北大学研电赛-技术论文格式要求.doc】已下载次
附件【附件3：湖北大学研电赛-商业计划书模板.doc】已下载次

  上一条：关于做好清明节研究生安全教育管理的通知    下一条：关于做好2024年上半年研究生学位论文答辩和学校学位授予工作的通知
【关闭】湖北大学研究生院 版权所有！地址：武汉市武昌区友谊大道368号 邮编：430062电话：027-88661191  邮件：yjsc@hubu.edu.cn
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
    * 金融
    * 市场监督
    * 企业
    * 财政
        * 审计
        * 会计
    * 税务
    * 证券
        * 股票
        * 债券
        * 基金
        * 期货
    * 银行
    * 收藏
* 房产
    * 公积金
    * 房企
    * 租房
    * 购房
        * 二手房
        * 新房
    * 家居
        * 装修
    * 政策性住房
        * 政策性住房
        * 公租房
        * 廉租房
        * 经适房
        * 共有产权房
        * 限价房
    * 住房改革
* 教育
    * 教育政策
    * 教育资讯
    * 教师
        * 教师资格
        * 教师待遇
    * 升学考试
        * 入学
        * 幼升小
        * 小升初
        * 中考
        * 学业水平等级考试
        * 高考
        * 专升本
        * 研究生考试
        * 学位认证
    * 学前教育
        * 幼儿园
        * 学前班
    * 义务教育
        * 小学
        * 初中
    * 中等教育
        * 高中
        * 职高
        * 中专
    * 高等教育
        * 高校
        * 本科
        * 专科
        * 硕士
        * 博士
    * 成人教育
        * 成人高考
        * 自考
    * 技能教育
    * 民办教育
* 军事
    * 军人
        * 征兵
        * 退伍
    * 军情
    * 武器
* 科技
    * 科普
    * 互联网
    * 人工智能
    * 区块链
    * 家电
    * 数码
    * 航空
    * 信息技术
    * 通信
    * 能源
    * 医疗
    * 生物
* 民生
    * 三农
        * 农业
        * 农村
        * 农民
        * 乡村振兴
    * 物流
    * 交通出行
        * 公交
        * 地铁
        * 轮渡
        * 出租车
        * 共享单车
        * 铁路
        * 航空
        * 路况
        * 高速
        * 限行
        * 限号
        * 车牌摇号
        * 车牌拍卖
    * 天气
    * 市政建设
        * 基础建设
        * 城建
    * 民生保障
        * 供水
        * 供电
        * 天然气
        * 供暖
    * 社会保障
        * 社保
        * 失业保险
        * 养老保险
        * 医疗保险
        * 工伤保险
        * 生育保险
        * 个人养老金
        * 扶贫
        * 社会救助
        * 最低生活保障
    * 劳动就业
        * 招聘
        * 就业
        * 失业
        * 劳动保护
        * 工资
        * 创业
        * 公务员
        * 编制
        * 职场
    * 消费券
* 社会
    * 环保公益
    * 社会组织
    * 社区
    * 公共安全
    * 自然灾害
    * 意外事故
    * 正能量
    * 食品安全
    * 人口
* 汽车
    * 买车
    * 二手车
    * 新车
    * 用车
    * 驾考
    * 车主服务
    * 新能源汽车
    * 汽车资讯
* 时政
    * 国内时政
    * 国际时政
    * 外交
    * 港澳台
    * 政府相关（具体的政府部门）
        * 人事任免
    * 政策
    * 法制
        * 法律法规
        * 违法
    * 纪检
* 体育
    * 篮球
    * 足球
    * 乒羽
    * 马拉松
    * 综合体育
    * 运动会
    * 体育组织
* 文旅
    * 文化
        * 人文
        * 文学
        * 传统文化
        * 文化遗产
    * 历史
        * 考古
        * 世界史
        * 古代史
        * 近代史
        * 党史
    * 旅游
        * 春游
        * 秋游
        * 亲子游
        * 出境游
        * 国内游
        * 自驾游
        * 旅游攻略
        * 自由行
        * 一日游
    * 节日
        * 春节
        * 元宵节
        * 情人节
        * 妇女节
        * 清明节
        * 劳动节
        * 端午节
        * 七夕
        * 中秋节
        * 重阳节
        * 国庆节
        * 万圣节
        * 圣诞节
        * 元旦
    * 艺术
        * 书法
        * 乐器
        * 摄影
        * 收藏
        * 曲艺
        * 绘画
        * 舞蹈
        * 设计
        * 雕塑
    * 文化场馆
        * 图书馆
        * 博物馆
        * 档案馆
        * 艺术馆
        * 文化馆
        * 纪念馆
* 休闲娱乐
    * 时尚
    * 影视
        * 明星
        * 电影
        * 电视剧
        * 综艺
        * 晚会
        * 演出
        * 动漫
        * 纪录片
    * 音乐
    * 美食
    * 游戏
        * 电竞
    * 彩票
    * 健身
    * 颜值
    * 搞笑
    * 命理
    * 情感
        * 两性
    * 宠物
    * 小说
* 健康
    * 医疗
        * 预防接种
        * 疫病预防
        * 食品安全
        * 健康保健
        * 疾病
        * 药品
    * 心理
    * 育儿
    * 医美
* 其他

```
这篇新闻涵盖了多个内容，请只对文字描述最多的内容进行分析：
1. 对新闻按照新闻类别表进行分类
2. 只返回文字最多领域的分类
3. 返回格式：'['一级分类', '二级分类', '三级分类']
4. 其中无法分类的级别设为空字符串，如果新闻为空就返回[]。
