以下被三个反引号包含的是一篇新闻：
```
登录还没账号？立即注册点击头像快速登录近日，武汉大学正式关闭2024赏樱预约通道，这也意味着：先花后叶的樱花顶流中樱，正式和武汉的春天告别，而花叶同开的晚樱已经在全城盛放。四月的武汉，春花持续接力。此刻，被誉为“世界花后”的郁金香进入最佳观赏期。今天，小编给大家推荐一个赏郁金香的好去处——东西湖郁金香主题公园。这里有100万余株郁金香，量大管饱，尽情拍照·这里能一站式看春天，还有杜鹃花、油菜花同赏·这里适合全家出游，妈妈爱的花海画框有，爸爸爱的民俗表演有，神兽爱的无动力乐园有清明时节雨纷纷，好在春风和煦，温度给力，捡个好天气，赏花不能停。东西湖郁金香主题公园，从武汉市区自驾抵达，大概需要40分钟。今年有个好消息，东西湖区开通了从码头潭地铁站直达公园的定制公交，这对非自驾游客太友好了。直通车票价4元，中途不停，游客达到一定数量就会发车，终点就在园区门口。（文末附直通车详细信息）抵达园内，你就会懂我的“量大管饱”：占地700亩的公园内，种植了100万余株郁金香，涵盖6个色系、50余个品种，其中包括非常罕见的黑色郁金香“夜皇后”。除了面积大，仪式感拉满也是园区最大特色。郁金香花海以“织锦”的方式呈现，每年主题各不同。今年从高空俯瞰，能看见由多种花色的郁金香花海拼接成的龙鳞纹、龙抬头、二龙戏珠等图案。园内有三大主题展区，荣誉广场、欧洲风情园、江南水乡园。打卡最多的是荣誉广场，因为这里最好拍。无人机爱拍的郁金香“织锦”在这里，好出片的郁金香画框也在这里。△郁金香盛开时，高度最高可达60厘米，形状呈高脚杯状，盛开花瓣直径约10厘米，有的花瓣全部打开直径可达20厘米左右，十分壮观。如果热爱童话世界，移步欧洲风情园。大风车、小木屋、帆船背景下的郁金香，如梦似幻。如果热爱中式园林，去江南水乡园。小桥流水下的郁金香花海，可以泛舟其中。△除了郁金香，园区内还有其他春景可看，比如樱花。长约一公里的樱木花道有部分晚樱品种，花期可至4月上旬。///赏花之外，卡丁车、ATV越野车、无动力乐园等游乐设施也有，适合带小朋友放电。还有全天候的少数民族民俗表演（敦煌飞天舞、非物质文化竹竿舞、阿诗玛民俗情歌对唱、喷火表演等），非常热闹。今年，园区的郁金香花期可持续至4月10日。挑个好天气，带上帐篷，带上家人，出发吧！ 东西湖郁金香主题公园地址：东西湖区吴新干线626号（吴新干线9.1公里处）时间：8:30-16:30门票：60元/人交通：1）自驾指南：导航「东西湖郁金香主题公园」可直达景区门口，景区有3000余个停车位，可供游客免费停车。2）定制公交（码头潭至郁金香主题公园）·码头潭公园站6号线D出口、码头潭公园站1号线G出口，都可以搭乘直达公交·该直达公交循环发车，中间不停靠，运行时间如下码头潭公园站：8:00-15:00，单程30分钟郁金香主题公园站：9:00-16:00，单程30分钟·该直达公交单程10公里，票价4元，支持现金或手机支付，暂不支持刷交通卡(来源：武汉市文化和旅游局)【编辑：姚昊】关注我们微信公众号手机客户端
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
    * 金融
    * 市场监督
    * 企业
    * 财政
        * 审计
        * 会计
    * 税务
    * 证券
        * 股票
        * 债券
        * 基金
        * 期货
    * 银行
    * 收藏
* 房产
    * 公积金
    * 房企
    * 租房
    * 购房
        * 二手房
        * 新房
    * 家居
        * 装修
    * 政策性住房
        * 政策性住房
        * 公租房
        * 廉租房
        * 经适房
        * 共有产权房
        * 限价房
    * 住房改革
* 教育
    * 教育政策
    * 教育资讯
    * 教师
        * 教师资格
        * 教师待遇
    * 升学考试
        * 入学
        * 幼升小
        * 小升初
        * 中考
        * 学业水平等级考试
        * 高考
        * 专升本
        * 研究生考试
        * 学位认证
    * 学前教育
        * 幼儿园
        * 学前班
    * 义务教育
        * 小学
        * 初中
    * 中等教育
        * 高中
        * 职高
        * 中专
    * 高等教育
        * 高校
        * 本科
        * 专科
        * 硕士
        * 博士
    * 成人教育
        * 成人高考
        * 自考
    * 技能教育
    * 民办教育
* 军事
    * 军人
        * 征兵
        * 退伍
    * 军情
    * 武器
* 科技
    * 科普
    * 互联网
    * 人工智能
    * 区块链
    * 家电
    * 数码
    * 航空
    * 信息技术
    * 通信
    * 能源
    * 医疗
    * 生物
* 民生
    * 三农
        * 农业
        * 农村
        * 农民
        * 乡村振兴
    * 物流
    * 交通出行
        * 公交
        * 地铁
        * 轮渡
        * 出租车
        * 共享单车
        * 铁路
        * 航空
        * 路况
        * 高速
        * 限行
        * 限号
        * 车牌摇号
        * 车牌拍卖
    * 天气
    * 市政建设
        * 基础建设
        * 城建
    * 民生保障
        * 供水
        * 供电
        * 天然气
        * 供暖
    * 社会保障
        * 社保
        * 失业保险
        * 养老保险
        * 医疗保险
        * 工伤保险
        * 生育保险
        * 个人养老金
        * 扶贫
        * 社会救助
        * 最低生活保障
    * 劳动就业
        * 招聘
        * 就业
        * 失业
        * 劳动保护
        * 工资
        * 创业
        * 公务员
        * 编制
        * 职场
    * 消费券
* 社会
    * 环保公益
    * 社会组织
    * 社区
    * 公共安全
    * 自然灾害
    * 意外事故
    * 正能量
    * 食品安全
    * 人口
* 汽车
    * 买车
    * 二手车
    * 新车
    * 用车
    * 驾考
    * 车主服务
    * 新能源汽车
    * 汽车资讯
* 时政
    * 国内时政
    * 国际时政
    * 外交
    * 港澳台
    * 政府相关（具体的政府部门）
        * 人事任免
    * 政策
    * 法制
        * 法律法规
        * 违法
    * 纪检
* 体育
    * 篮球
    * 足球
    * 乒羽
    * 马拉松
    * 综合体育
    * 运动会
    * 体育组织
* 文旅
    * 文化
        * 人文
        * 文学
        * 传统文化
        * 文化遗产
    * 历史
        * 考古
