以下被三个反引号包含的是一篇新闻：
```
登录还没账号？立即注册点击头像快速登录长江日报大武汉客户端4月1日讯（记者汪洋 通讯员程晓琼）今年9月，第47届世界技能大赛将在法国里昂举行，湖北生态工程职业技术学院学生贾京将代表中国出战。在刚刚结束的国内选拔集中考核中，贾京夺得家具制作类第一名。第47届世界技能大赛家具制作项目选手选拔集中考核中，贾京勇夺第一名。贾京是湖北生态工程职业技术学院建筑室内设计专业大三学生。去年9月，他参加第二届全国技能大赛家具制作（世赛）项目拿下金牌，并入选第47届世界技能大赛中国集训队，是湖北省6名金牌选手中唯一一名在校学生。贾京以极致匠心展现着青年匠人风采，在2023年度“武汉群英会”颁奖典礼中获评“笃行英雄”荣誉称号。在2023年度“武汉群英会”颁奖典礼中，贾京获评“笃行英雄”荣誉称号（点击图片查看此前报道）。获评“笃行英雄”荣誉时，贾京已入选第47届世界技能大赛中国集训队，正在广州紧锣密鼓地集训备战。历经4个月的艰苦备战，持之以恒的努力结出了又一硕果，贾京不负众望，在集训考核中勇夺第一名，距离世界冠军更近了一步。贾京告诉记者，这次集训考核中，考官给每位选手一张图纸和木料，要求在16个小时内做出一个柜子。“除了吃饭、睡觉几乎没有休息时间，非常考验体力、耐力。而且图纸中设计的模块很多，对选手的规划能力也是极大考验。”动手之前，贾京先认真研究图纸，快速在头脑中做规划，梳理操作流程，此后凭着精湛的技艺，冷静娴熟地制出了一件精美的作品。目前，贾京已经投入备战世界技能大赛的决赛训练中了。“很自豪将代表中国出战，我很有信心。”贾京告诉记者，平时训练的强度很大，他要继续保持这样的状态，笃行不怠，相信一定可以取得最终的胜利。记者了解到，世界技能大赛是全球地位高、规模大、影响力强的职业技能竞赛，代表了职业技能发展的世界先进水平，是世界技能组织成员展示和交流职业技能的重要平台，截至目前已成功举办46届。今年年初，湖北生态工程职业技术学院被确定为第47届世界技能大赛家具制作项目中国集训基地，该校已连续成为4届世界技能大赛中国集训基地。湖北生态工程职业技术学院相关负责人表示，学校将聚焦第47届世界技能大赛家具制作项目备赛各环节，在国家集训队专家组的指导下，组织好更高强度的技能、体能和心理素质训练，全力冲刺世界技能大赛金牌，努力为国争光。相关报道：“00后”贾京：干木匠活儿用状元功夫【编辑：邓腊秀】关注我们微信公众号手机客户端
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
    * 金融
    * 市场监督
    * 企业
    * 财政
        * 审计
        * 会计
    * 税务
    * 证券
        * 股票
        * 债券
        * 基金
        * 期货
    * 银行
    * 收藏
* 房产
    * 公积金
    * 房企
    * 租房
    * 购房
        * 二手房
        * 新房
    * 家居
        * 装修
    * 政策性住房
        * 政策性住房
        * 公租房
        * 廉租房
        * 经适房
        * 共有产权房
        * 限价房
    * 住房改革
* 教育
    * 教育政策
    * 教育资讯
    * 教师
        * 教师资格
        * 教师待遇
    * 升学考试
        * 入学
        * 幼升小
        * 小升初
        * 中考
        * 学业水平等级考试
        * 高考
        * 专升本
        * 研究生考试
        * 学位认证
    * 学前教育
        * 幼儿园
        * 学前班
    * 义务教育
        * 小学
        * 初中
    * 中等教育
        * 高中
        * 职高
        * 中专
    * 高等教育
        * 高校
        * 本科
        * 专科
        * 硕士
        * 博士
    * 成人教育
        * 成人高考
        * 自考
    * 技能教育
    * 民办教育
* 军事
    * 军人
        * 征兵
        * 退伍
    * 军情
    * 武器
* 科技
    * 科普
    * 互联网
    * 人工智能
    * 区块链
    * 家电
    * 数码
    * 航空
    * 信息技术
    * 通信
    * 能源
    * 医疗
    * 生物
* 民生
    * 三农
        * 农业
        * 农村
        * 农民
        * 乡村振兴
    * 物流
    * 交通出行
        * 公交
        * 地铁
        * 轮渡
        * 出租车
        * 共享单车
        * 铁路
        * 航空
        * 路况
        * 高速
        * 限行
        * 限号
        * 车牌摇号
        * 车牌拍卖
    * 天气
    * 市政建设
        * 基础建设
        * 城建
    * 民生保障
        * 供水
        * 供电
        * 天然气
        * 供暖
    * 社会保障
        * 社保
        * 失业保险
        * 养老保险
        * 医疗保险
        * 工伤保险
        * 生育保险
        * 个人养老金
        * 扶贫
        * 社会救助
        * 最低生活保障
    * 劳动就业
        * 招聘
        * 就业
        * 失业
        * 劳动保护
        * 工资
        * 创业
        * 公务员
        * 编制
        * 职场
    * 消费券
* 社会
    * 环保公益
    * 社会组织
    * 社区
    * 公共安全
