以下被三个反引号包含的是一篇新闻：
```
登录还没账号？立即注册点击头像快速登录4月1日，“迎春风拉满弓 乘东风开门红”——大功率蓝光半导体激光器产业化项目竣工仪式在武汉江夏智能制造产业基地举行。区委副书记、区长舒贵传出席，并与企业代表一同为项目竣工剪彩。武汉鑫威源电子科技有限公司于2022年6月成立，2023年5月落地江夏区智能制造产业基地。作为新兴光电子科技企业，致力于大功率蓝光半导体激光器相关材料、芯片、封装等的设计与开发。目前，项目完成了厂区及办公区的改造，主要生产设备已经完成安装，正在进行产线的联调和样品的试制。蓝光大功率激光器的研发和应用，是半导体技术领域的一项重要突破，代表了在材料科学、光学设计、电子工程等多个学科交叉融合的成果，有助于提升国内产业的技术水平和市场竞争力，摆脱对进口产品的依赖，增强产业的自主可控力。这对于保障国家经济安全和推动产业转型升级具有重要的作用。蓝光激光器的应用方向也非常广泛，在激光显示、激光照明、医疗设备、工业加工等方面，均有着重要的市场前景，并将带动相关产业链发展。活动中，鑫威源公司相关负责人对江夏区委、区政府给予项目建设的关心和支持表示感谢，表示将继续坚持创新驱动的发展战略，加大研发投入，不断提升产品性能，优化生产工艺，与同行共同推动蓝光的创新和应用。活动后，全体人员参观了厂房、生产区。(来源：江夏区融媒体中心)【编辑：姚昊】关注我们微信公众号手机客户端
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
    * 金融
    * 市场监督
    * 企业
    * 财政
        * 审计
        * 会计
    * 税务
    * 证券
        * 股票
        * 债券
        * 基金
        * 期货
    * 银行
    * 收藏
* 房产
    * 公积金
    * 房企
    * 租房
    * 购房
        * 二手房
        * 新房
    * 家居
        * 装修
    * 政策性住房
        * 政策性住房
        * 公租房
        * 廉租房
        * 经适房
        * 共有产权房
        * 限价房
    * 住房改革
* 教育
    * 教育政策
    * 教育资讯
    * 教师
        * 教师资格
        * 教师待遇
    * 升学考试
        * 入学
        * 幼升小
        * 小升初
        * 中考
        * 学业水平等级考试
        * 高考
        * 专升本
        * 研究生考试
        * 学位认证
    * 学前教育
        * 幼儿园
        * 学前班
    * 义务教育
        * 小学
        * 初中
    * 中等教育
        * 高中
        * 职高
        * 中专
    * 高等教育
        * 高校
        * 本科
        * 专科
        * 硕士
        * 博士
    * 成人教育
        * 成人高考
        * 自考
    * 技能教育
    * 民办教育
* 军事
    * 军人
        * 征兵
        * 退伍
    * 军情
    * 武器
* 科技
    * 科普
    * 互联网
    * 人工智能
    * 区块链
    * 家电
    * 数码
    * 航空
    * 信息技术
    * 通信
    * 能源
    * 医疗
    * 生物
* 民生
    * 三农
        * 农业
        * 农村
        * 农民
        * 乡村振兴
    * 物流
    * 交通出行
        * 公交
        * 地铁
        * 轮渡
        * 出租车
        * 共享单车
        * 铁路
        * 航空
        * 路况
        * 高速
        * 限行
        * 限号
        * 车牌摇号
        * 车牌拍卖
    * 天气
    * 市政建设
        * 基础建设
        * 城建
    * 民生保障
        * 供水
        * 供电
        * 天然气
        * 供暖
    * 社会保障
        * 社保
