以下被三个反引号包含的是一篇新闻：
```
登录还没账号？立即注册点击头像快速登录长江日报大武汉客户端3月25日讯（通讯员陈夏　张雅琴）“杨师傅，别紧张，深吸一口气憋住。”近日，肾病患者杨先生在武汉科技大学附属老年病医院的彩超手术室内成功完成肾穿刺活检术。在杨先生深吸气然后屏住呼吸几秒的同时，在精准超声引导下，肾病内科主任医师张李刚手握穿刺枪精准而迅速地工作。每次只用屏住呼吸几秒，不到10分钟，张主任成功取出了一条肾组织顺利完成穿刺取样。随后，张主任告知杨先生：“可以正常呼吸了。”“该活检术创伤小，手术仅需10分钟左右，是目前国内外三甲医院诊疗肾脏病最精准的手段之一，也是诊断肾脏疾病、指导治疗和预后判断的一种重要手段。这一关键步骤的实施，将为杨先生接下来的精准治疗提供重要的病理分型依据。”张李刚介绍，肾穿刺活检又称经皮肾活检，通常是在床边彩超的定位和引导下，采用局部浸润麻醉腰部皮肤，使用专门的肾穿刺活检针穿刺提取少量的肾组织（一般1～2厘米，2条）进行多项病理检查，在明确疾病病理类型、评判病变活动性、指导治疗、判断疗效及评估预后发挥着重要作用。张李刚主任表示，急性肾炎综合征、原发性肾病综合征、无症状性血尿、无症状性蛋白尿等原发性肾脏疾病，以及继发性或遗传性肾脏病，继发性或遗传性肾脏病等在临床无法确定其病因时应及时穿刺，但也并不是所有人都适合做肾穿刺，当出现明显出血倾向、重度高血压、精神病或不配合操作者、孤立肾或小肾是绝对禁止的。【编辑：余丽娜】关注我们微信公众号手机客户端
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
    * 金融
    * 市场监督
    * 企业
    * 财政
        * 审计
        * 会计
    * 税务
    * 证券
        * 股票
        * 债券
        * 基金
        * 期货
    * 银行
    * 收藏
* 房产
    * 公积金
    * 房企
    * 租房
    * 购房
        * 二手房
        * 新房
    * 家居
        * 装修
    * 政策性住房
        * 政策性住房
        * 公租房
        * 廉租房
        * 经适房
        * 共有产权房
        * 限价房
    * 住房改革
* 教育
    * 教育政策
    * 教育资讯
    * 教师
        * 教师资格
        * 教师待遇
    * 升学考试
        * 入学
        * 幼升小
        * 小升初
        * 中考
        * 学业水平等级考试
        * 高考
        * 专升本
        * 研究生考试
        * 学位认证
    * 学前教育
        * 幼儿园
        * 学前班
    * 义务教育
        * 小学
        * 初中
    * 中等教育
        * 高中
        * 职高
        * 中专
    * 高等教育
        * 高校
        * 本科
        * 专科
        * 硕士
        * 博士
    * 成人教育
        * 成人高考
        * 自考
    * 技能教育
    * 民办教育
* 军事
    * 军人
        * 征兵
        * 退伍
    * 军情
    * 武器
* 科技
    * 科普
    * 互联网
    * 人工智能
    * 区块链
    * 家电
    * 数码
    * 航空
    * 信息技术
    * 通信
    * 能源
    * 医疗
    * 生物
* 民生
    * 三农
        * 农业
        * 农村
        * 农民
        * 乡村振兴
    * 物流
    * 交通出行
        * 公交
        * 地铁
        * 轮渡
        * 出租车
        * 共享单车
        * 铁路
        * 航空
        * 路况
        * 高速
        * 限行
