以下被三个反引号包含的是一篇新闻：
```

微信号
weiyima114

功能介绍
文化旅游 便民服务
1939年4月13日，抗演三队在延安首演《黄河大合唱》时，担任《黄河怨》独唱的是蒋旨暇。皖南事变爆发后，抗演三队秘密转移后三日的1941年3月29日，蒋旨暇因一场手术感染，不幸牺牲于渑池县常村（现河南省义马市东区街道办事处常村社区）。2023年10月22日，《人文武汉》公众号首发《寻找“抗敌演剧队”队员蒋旨暇烈士亲属》的文章，至今未得到任何信息。（抗演三队集体合影，前排左五为蒋旨暇）2024年3月31日晚上，我在网上查到北京市第二十四中学英语教师刘铮（中共党员）撰写的百年校庆文章《仰望•同行（十六）║蒋旨暇：“抗演”之花 巾帼英雄》，记录了蒋旨暇在1936年毕业于北平私立大同中学校（今北京市第二十四中学）。北京市第二十四中学是一所历史悠久的优质完全中学，学校前身为北京私立大同中学校，由中国近代著名教育家蔡元培先生和北大教授创于1923年，早在民国时期就已誉满京城。刘铮的文章里介绍：蒋旨暇（1918-1941），出生于湖北省武汉市。1936年北平私立大同中学校（今北京市第二十四中学）初中毕业。在校期间与同学一起参加了“一二•九”学生运动。是“中华民族解放先锋队”、“国民政府军事委员会政治部抗敌演剧队”第三队（简称抗演三队）的重要成员。1939年4月13日在延安参加《黄河大合唱》首演并独唱《黄河怨》。1941年牺牲于义马市常村。 在校期间，蒋旨暇就积极要求进步，与陈宝琦、蒋旨静（疑似蒋旨暇的姊妹）、徐紘昌等同学一起参加了“一二•九”学生运动。在此期间，她参加了党的外围组织“中华民族解放先锋队”。2024年4月1日，我电话联系到北京市第二十四中学的许静老师，经她查阅学校民国25年（1936年）7月档案，蒋旨暇系河北省秦皇岛市卢龙县人，时年18岁；蒋旨静，系河北省丰润（今河北省唐山市丰润区）人，时年18岁。故暂排除蒋旨暇与蒋旨静的姊妹关系，但不排除她们可能也有非常近的亲族关系，这个“旨”字在名字中很少见，是不是蒋氏有这样一个字派，显示辈分的。刘铮老师在文章里的感悟：“在战火纷飞的动荡岁月，为了国家的兴亡、民族的复兴，我们的优秀校友蒋旨暇烈士不顾个人安危，以满腔热血投入到宣传抗日救国的抗演三队工作中，以自己对国家、对人民的无限热爱与忠诚而牺牲了自己年轻的生命。作为二十四中的一名党员教师，在实际工作中我会以众多的优秀校友为榜样，心怀“国之大者”，牢记立德树人根本任务，既要有实干精神，又要发挥创新思维；既要以党员标准严格要求自己，又要团结和带动身边青年教师；努力在工作中做出优秀的成绩，为实现我校跨越式发展贡献自己的力量。蒋旨暇烈士革命的一生是短暂的，但其坚强乐观的性格和不屈的奋斗精神却值得我们一直学习和怀念。校友蒋旨暇烈士，永垂不朽！”在清明节到来之际，为纪念“抗演之花”蒋旨暇烈士，缅怀烈士的英雄事迹，我将继续通过媒体和河北省秦皇岛市卢龙县为烈士寻亲。图文：赵韶伟/13693994489图片来源于网络微信扫一扫关注该公众号
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
