以下被三个反引号包含的是一篇新闻：
```

微信号
ldxqxt

功能介绍
天气预报、预警信号、短临预报、雨情信息、气象科普、农用天气预报
要不要春“捂”？为何春天的天气变幻无常，忽冷忽热呢？多变的天气都有哪些？北方大风 春季虽然气压带、风带开始向北移动，但是副热带高压（是温暖的气团）的势力还不是很强。这时，冷气团迅速南下，替代了原来暖气团的位置，所以会使气温骤降，而且常常带来大风。这时的北方大风起兮，它具有大风次数多、范围广、强度大、持续时间长的特点。一般来说，大风频繁的情况在进入4月后才逐渐好转。南方连阴雨相比之下，南方通常是接连几天甚至十几天的阴雨连绵、阳光寡照的寒冷天气，又称低温连阴雨。这是因为冷气团将战线拉得过长，无论是冷气团还是暖气团都不能打败对方，对垒的阵线一直维持在南方地区，造成雨水连绵不绝。强对流天气4月前后，副热带高压增强，副高北部的暖湿气流更为活跃，而北方也不断有弱冷空气南下，冷暖气团交汇频繁。当两者交汇时，由于密度不同，暖气团会有上升运动，冷气团有下沉运动，大气垂直运动较为强烈，易形成雷电、雷暴大风和冰雹等强对流天气。春旱与南方雨水丰沛相比，北方则容易出现春旱。尤其是西北、华北地区。由于太阳直射点北移，使得地表升温迅速，但地表空气只能得到地表的热量，却得不到水汽，因此较为干燥，不易成云致雨。此时暖空气虽然开始活跃，但一般在南方地区活动，难深入到北方地区，不利于北方旱情的缓解。微信扫一扫关注该公众号
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
    * 金融
    * 市场监督
    * 企业
    * 财政
        * 审计
        * 会计
    * 税务
    * 证券
        * 股票
        * 债券
        * 基金
        * 期货
    * 银行
    * 收藏
* 房产
    * 公积金
    * 房企
    * 租房
    * 购房
        * 二手房
        * 新房
    * 家居
        * 装修
    * 政策性住房
        * 政策性住房
        * 公租房
        * 廉租房
        * 经适房
        * 共有产权房
        * 限价房
    * 住房改革
* 教育
    * 教育政策
    * 教育资讯
    * 教师
        * 教师资格
        * 教师待遇
    * 升学考试
        * 入学
        * 幼升小
        * 小升初
        * 中考
        * 学业水平等级考试
        * 高考
        * 专升本
        * 研究生考试
        * 学位认证
    * 学前教育
        * 幼儿园
        * 学前班
    * 义务教育
        * 小学
        * 初中
    * 中等教育
        * 高中
        * 职高
        * 中专
    * 高等教育
        * 高校
        * 本科
        * 专科
        * 硕士
        * 博士
    * 成人教育
        * 成人高考
        * 自考
    * 技能教育
    * 民办教育
* 军事
    * 军人
        * 征兵
        * 退伍
    * 军情
    * 武器
* 科技
    * 科普
    * 互联网
    * 人工智能
    * 区块链
    * 家电
    * 数码
    * 航空
    * 信息技术
    * 通信
    * 能源
    * 医疗
    * 生物
* 民生
    * 三农
        * 农业
        * 农村
        * 农民
        * 乡村振兴
    * 物流
    * 交通出行
        * 公交
        * 地铁
        * 轮渡
        * 出租车
        * 共享单车
        * 铁路
        * 航空
        * 路况
        * 高速
        * 限行
        * 限号
        * 车牌摇号
        * 车牌拍卖
    * 天气
    * 市政建设
        * 基础建设
        * 城建
    * 民生保障
