以下被三个反引号包含的是一篇新闻：
```

微信号
qiaokoufabu

功能介绍
政务信息发布，城区形象宣传，便民资讯，公益服务
春风送真情，援助暖民心。昨日上午，硚口区人力资源局联合区总工会、区妇联、区残联、宗关街道办事处和韩家墩街道办事处等单位在泛悦南国西汇广场举办了硚口区“春风行动”专场招聘会。招聘会现场，人声鼎沸，求职者对自己心仪的岗位信息仔细阅读，与企业招聘人员深入交流。据统计，现场共40家企业，提供119个工种、296个岗位。现场还设立了技能培训成果展示区、技能培训报名点、综合招聘专区，以及集政策咨询、职业指导、法律咨询于一体的功能区，引导“新经济”，突出“新职业”，凸显“新技能”，帮助有用工需求的用人单位找到所需人才。对于求职者咨询工作时间、应聘条件、薪资待遇等问题，用工企业为到场求职者提供“一对一”指导服务，“零距离”为求职者答疑解惑。依托多个就业驿站，发挥“连心”作用，以春风行动为抓手，链接辖区企业，硚口区人力资源局将不断创新就业服务方式、拓宽就业服务渠道、丰富就业服务内容，多频次、精匹配开展“家门口”就业服务。下一步，区人资局将持续深化就业创业提质行动，打造更高质量、充分就业场景。为供需双方搭建起政府、企业、社会对接的平台，建立完善就业服务平台和创业服务品牌、零工市场服务平台，尽全力为企业和人才提供便利、保驾护航。来源：区人资局出品：中共硚口区委宣传部  硚口区融媒体中心传播硚口好声音讲述硚口好故事绝美！这片金色花海，谁拍谁好看在硚口，遇见“梨”【夜读】今晚，AI陪读求分享求点赞求在看微信扫一扫关注该公众号
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
    * 金融
    * 市场监督
    * 企业
    * 财政
        * 审计
        * 会计
    * 税务
    * 证券
        * 股票
        * 债券
        * 基金
        * 期货
    * 银行
    * 收藏
* 房产
    * 公积金
    * 房企
    * 租房
    * 购房
        * 二手房
        * 新房
    * 家居
        * 装修
    * 政策性住房
        * 政策性住房
        * 公租房
        * 廉租房
        * 经适房
        * 共有产权房
        * 限价房
    * 住房改革
* 教育
    * 教育政策
    * 教育资讯
    * 教师
        * 教师资格
        * 教师待遇
    * 升学考试
        * 入学
        * 幼升小
        * 小升初
        * 中考
        * 学业水平等级考试
        * 高考
        * 专升本
        * 研究生考试
        * 学位认证
    * 学前教育
        * 幼儿园
        * 学前班
    * 义务教育
        * 小学
        * 初中
    * 中等教育
        * 高中
        * 职高
        * 中专
    * 高等教育
        * 高校
        * 本科
        * 专科
        * 硕士
        * 博士
    * 成人教育
        * 成人高考
        * 自考
    * 技能教育
    * 民办教育
* 军事
    * 军人
        * 征兵
        * 退伍
    * 军情
    * 武器
* 科技
    * 科普
    * 互联网
    * 人工智能
    * 区块链
    * 家电
    * 数码
    * 航空
    * 信息技术
    * 通信
    * 能源
    * 医疗
    * 生物
* 民生
    * 三农
        * 农业
        * 农村
        * 农民
        * 乡村振兴
    * 物流
    * 交通出行
        * 公交
        * 地铁
        * 轮渡
        * 出租车
        * 共享单车
        * 铁路
        * 航空
        * 路况
        * 高速
        * 限行
        * 限号
        * 车牌摇号
