以下被三个反引号包含的是一篇新闻：
```
来源单位及审核人：公共管理学院  史传林编辑：李彦华审核发布：陈芃辰
发布时间：2024-03-30浏览次数：16开幕式现场作为115周年校庆“学术华农”系列活动之一，3月30日上午，由我校公共管理学院、中国人民大学社会学理论与方法研究中心、中国人民大学社会与人口学院共同主办，广东省社会保障与社会政策研究中心、广东省减贫治理与乡村振兴研究院、广东城乡公共安全与数智治理重点实验室、广州农村治理现代化研究基地、华南农业大学社会工作与社会政策研究中心协办的“中国式现代化与基层治理”学术研讨会在红满堂举行。我校副校长咸春龙教授、中国人民大学副校长冯仕政教授出席并致辞。来自中国社会学会、中国社会工作协会、中国社会工作学会以及北京大学、清华大学、中国人民大学、中山大学、南开大学、华东师范大学、复旦大学、武汉大学、南京大学、厦门大学、西安交通大学、吉林大学、东南大学、华南理工大学等60余所院校的160余位专家学者参会。广东省委社会工作部相关领导出席会议。咸春龙、冯仕政致辞开幕式上，咸春龙介绍了华农的办学特色与成效。他指出，华农在广东省最早开办社会工作专业，已有25年办学历程，在培养有“三农、基层、湾区”特色的社会工作高端应用型人才方面不断开拓进取，创新发展，获评“广东省特色专业”“广东省综合改革试点专业”“广东省人才培养模式创新实验区”，社会工作专业入选“国家级一流本科专业建设点”。他表示，基层治理如今在社会治理、国家治理体系中具有更加重要的位置。以中国式现代化引领基层治理现代化，不断提高基层治理水平，更好推动国家治理体系和治理能力现代化，是每一位社会学专家、管理学专家需要研究的重大课题。冯仕政表示，基层强则国家强，基层安则天下安，基层治理现代化是实现国家治理体系和治理能力现代化的基石。本次论坛回应时代需求，围绕回答好中国之问、世界之问、人民之问、时代之问和建构好中国自主知识体系的伟大使命，凝心聚力，集思广益，努力推动中国社会学学科体系、学术体系、话语体系的创新发展，充分体现中国社会学全面贯彻党的二十大精神的理论自觉和实践自觉。马凤芝、蔡禾、周大鸣、关信平、王天夫、张文宏、文军、李迎生作主题报告在主题报告中，中国社会工作教育协会会长、北京大学社会学系马凤芝教授，中山大学城市社会研究中心蔡禾教授，云南师范大学法律与社会学院、中山大学移民与族群研究中心周大鸣教授，南开大学社会建设与管理研究院院长关信平教授，中国社会学会副会长、清华大学社会科学学院副院长王天夫教授，中国社会学会副会长、南开大学社会学院院长张文宏教授，中国社会学会副会长、华东师范大学社会发展学院院长文军教授，中国社会工作学会副会长、中国人民大学社会学理论与方法研究中心李迎生教授围绕中国式现代化和基层治理的重大战略部署、趋势历程、学术前沿、现实关切，分别以《中国式现代化背景下社区工作与基层治理体系与能力现代化》《小生产中间阶层的再发展与社会治理》《“村改居”后集体资产问题思考》《中国式现代化背景下社会体制的创新发展》《人工智能时代的公共事务治理》《中国社会结构变迁的趋势与机制分析》《不确定性视角下的城市韧性治理及其反思》《中国式现代化新征程与社会工作新发展格局》为题作了报告。本次学术研讨会还设有9个平行分论坛，与会专家学者、学生代表围绕中国式现代化与基层治理、社会工作本土化创新与实践、中国特色社会学创新发展、粤港澳大湾区高质量发展、乡村振兴与农村社会工作、城乡基层治理与社会工作、国家治理与社会治理的理论与实践等专题开展深入研讨，就相关领域的前沿理论、实践经验、研究发现等进行交流分享。与会人员合影文/公共管理学院图/李彦华 新禾融媒体工作室 罗培名、严玉莹、卢晓晴SCAU Copyright © 2018
华南农业大学 All rights reserved
地址：广州市天河区五山华南农业大学　 邮编：510642
备案编号：粤ICP备05008874号 4401060500010
管理登录
 
            
        
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
    * 金融
    * 市场监督
    * 企业
    * 财政
        * 审计
        * 会计
    * 税务
    * 证券
        * 股票
        * 债券
        * 基金
        * 期货
    * 银行
    * 收藏
* 房产
    * 公积金
    * 房企
    * 租房
    * 购房
        * 二手房
        * 新房
    * 家居
        * 装修
    * 政策性住房
        * 政策性住房
        * 公租房
        * 廉租房
        * 经适房
        * 共有产权房
        * 限价房
    * 住房改革
* 教育
    * 教育政策
    * 教育资讯
    * 教师
        * 教师资格
        * 教师待遇
    * 升学考试
        * 入学
        * 幼升小
        * 小升初
        * 中考
        * 学业水平等级考试
        * 高考
        * 专升本
        * 研究生考试
        * 学位认证
    * 学前教育
        * 幼儿园
        * 学前班
    * 义务教育
        * 小学
        * 初中
    * 中等教育
        * 高中
        * 职高
        * 中专
    * 高等教育
        * 高校
        * 本科
        * 专科
        * 硕士
        * 博士
    * 成人教育
        * 成人高考
        * 自考
    * 技能教育
    * 民办教育
* 军事
    * 军人
        * 征兵
        * 退伍
    * 军情
    * 武器
* 科技
    * 科普
    * 互联网
    * 人工智能
    * 区块链
    * 家电
    * 数码
    * 航空
    * 信息技术
    * 通信
    * 能源
    * 医疗
    * 生物
* 民生
    * 三农
        * 农业
        * 农村
        * 农民
        * 乡村振兴
    * 物流
    * 交通出行
        * 公交
        * 地铁
        * 轮渡
        * 出租车
        * 共享单车
        * 铁路
        * 航空
        * 路况
        * 高速
        * 限行
        * 限号
        * 车牌摇号
        * 车牌拍卖
    * 天气
    * 市政建设
        * 基础建设
        * 城建
    * 民生保障
        * 供水
        * 供电
        * 天然气
        * 供暖
    * 社会保障
        * 社保
        * 失业保险
        * 养老保险
        * 医疗保险
        * 工伤保险
        * 生育保险
        * 个人养老金
        * 扶贫
        * 社会救助
        * 最低生活保障
    * 劳动就业
        * 招聘
        * 就业
        * 失业
        * 劳动保护
        * 工资
        * 创业
        * 公务员
        * 编制
        * 职场
    * 消费券
* 社会
    * 环保公益
    * 社会组织
    * 社区
    * 公共安全
    * 自然灾害
    * 意外事故
    * 正能量
    * 食品安全
    * 人口
* 汽车
    * 买车
    * 二手车
    * 新车
    * 用车
    * 驾考
    * 车主服务
    * 新能源汽车
    * 汽车资讯
* 时政
    * 国内时政
    * 国际时政
    * 外交
    * 港澳台
    * 政府相关（具体的政府部门）
        * 人事任免
    * 政策
    * 法制
        * 法律法规
        * 违法
    * 纪检
* 体育
    * 篮球
    * 足球
    * 乒羽
    * 马拉松
    * 综合体育
    * 运动会
    * 体育组织
* 文旅
    * 文化
        * 人文
        * 文学
        * 传统文化
        * 文化遗产
    * 历史
        * 考古
        * 世界史
        * 古代史
        * 近代史
        * 党史
    * 旅游
        * 春游
        * 秋游
        * 亲子游
        * 出境游
        * 国内游
        * 自驾游
        * 旅游攻略
        * 自由行
