以下被三个反引号包含的是一篇新闻：
```
【来源：九派新闻】仅需千元就可以买到一个奢侈品包还有资质和发票近 日武汉蔡甸警方破获一起假冒国际名牌皮包案，抓获4名犯罪嫌疑人，现场查获仿冒国际品牌皮包4000余件，涉案价值达800余万元。

今年3月初，武汉市公安局蔡甸区分局蔡甸派出所接到辖区居民胡女士报警称，自己买的奢侈品牌单肩包，经鉴定为假冒产品。接警后，民警赶至胡女士家里。胡女士说，她的包是在朋友圈一个微商“XY潮奢馆”那里花2000元买的。民警查看微商用户“XY潮奢馆”的朋友圈，发现其动态都是推销奢侈品皮包的广告，并声称所有皮包都是专人从国外代购的，全部保真。对胡女士的皮包进一步鉴定后，警方发现确实系假货，于是决定从这名微商用户顺线深挖。蔡甸区分局刑侦大队成立专班攻坚此案。经调查发现，该微商用户号主为刘某，是一名居住在武汉市硚口区的女性，从朋友圈发布的广告可推测其为销售客服，背后有供货上线。专班民警围绕销售客服刘某深挖，发现她收款的资金均流向了一名张姓男子的银行账户。民警随后对张某开展调查，发现其妻子易某也有多笔资金入账，而他们每次都是安排同一个寄件人陈某到快递点邮寄包裹。经过多日摸排走访，民警锁定了他们的窝点。3月25日，专班民警赶至武汉市硚口区，在他们存放皮包的仓库内将4人抓获。经清点，仓库里堆放了4000余件仿冒国际品牌皮包，经鉴定均为假冒产品。经审查，2020年7月以来，该团伙在网上低价购买大量假冒奢侈品包，通过发朋友圈、线上引流等方式吸引顾客，然后再加价出售，目前累计销售800余万元，从中非法获利100余万元。该售假团伙分工明确，张某、易某夫妻二人系头目，负责进货出货、收银记账，刘某是销售客服，负责广告引流、商品推销，陈某是管理员，负责配货打包、快递寄递。目前，张某等4人已被公安机关依法刑事拘留，案件仍在进一步深挖中。（来源：平安武汉）
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
    * 金融
    * 市场监督
    * 企业
    * 财政
        * 审计
        * 会计
    * 税务
    * 证券
        * 股票
        * 债券
        * 基金
        * 期货
    * 银行
    * 收藏
* 房产
    * 公积金
    * 房企
    * 租房
    * 购房
        * 二手房
        * 新房
    * 家居
        * 装修
    * 政策性住房
        * 政策性住房
        * 公租房
        * 廉租房
        * 经适房
        * 共有产权房
        * 限价房
    * 住房改革
* 教育
    * 教育政策
    * 教育资讯
    * 教师
        * 教师资格
        * 教师待遇
    * 升学考试
        * 入学
        * 幼升小
        * 小升初
        * 中考
        * 学业水平等级考试
        * 高考
        * 专升本
        * 研究生考试
        * 学位认证
    * 学前教育
        * 幼儿园
        * 学前班
    * 义务教育
        * 小学
        * 初中
    * 中等教育
        * 高中
        * 职高
        * 中专
    * 高等教育
        * 高校
        * 本科
        * 专科
        * 硕士
        * 博士
    * 成人教育
        * 成人高考
        * 自考
    * 技能教育
    * 民办教育
* 军事
    * 军人
        * 征兵
        * 退伍
    * 军情
    * 武器
* 科技
    * 科普
    * 互联网
    * 人工智能
    * 区块链
    * 家电
    * 数码
