以下被三个反引号包含的是一篇新闻：
```
　　炒股就看金麒麟分析师研报，权威，专业，及时，全面，助您挖掘潜力主题机会！　　今日早盘，A股市场全线高开高走，有色金属、新能源汽车、大金融等板块集体走强，个股呈现普涨行情。截至午间休市，上证指数、深证成指分别上涨1.02%和2.35%，全市场超4300股飘红。富时A50期指盘中一度涨近2.4%。　　A股主要股指早盘表现　　券商板块开盘集合竞价便涨势突出，长江证券早盘股价走出“一字涨停”，天风证券、东吴证券等纷纷跟涨。消息面上，湖北国资旗下长江产业投资集团以非公开转让方式受让湖北能源和三峡资本所持长江证券全部8.63亿股股份，将成为长江证券第一大股东。　　新能源汽车板块大幅走强，锂矿与整车方向领涨。小米SU7上市24小时，大定达88898台。小米董事长兼CEO雷军3月31日在个人微博上称，在小米SU7创始版的定购过程中，识别、拦截了部分异常订单和黄牛订单，因此将开启第二轮惊喜追加开售。　　长江证券“一字涨停”　　今日早盘，长江证券股价收获“一字涨停”。截至午盘，长江证券涨停板封单达64.2万手，对应封单金额3.6亿元，公司市值升至311.9亿元。其他券商股纷纷跟涨，锦龙股份、天风证券涨超4%。　　券商板块早盘涨幅排名　　消息面上，长江证券3月29日晚公告称，湖北国资旗下长江产业投资集团有限公司以非公开转让方式受让湖北能源和三峡资本所持长江证券全部8.63亿股股份，占总股本15.6%，将成为长江证券第一大股东。　　长江产业集团是一家聚焦国家战略和湖北省现代产业集群建设，履行省级战略性新兴产业投资运营主体和省级产业投资基金投资管理主体功能。公告显示，本次转让受让方长江产业集团目前持有长江证券1亿股股份，占比1.81%。出让方湖北能源及三峡资本目前位列长江证券第二、第三大股东，分别持有长江证券5.3亿和3.33亿股股份，合计持股占比15.6%。在后续完成转让后，长江产业集团将持有长江证券9.63亿股股份，持股占比达17.41%。　　除了长江证券外，浙商证券收购国都证券也迎来实质性进展。浙商证券3月29日晚公告称，公司拟通过协议转让的方式，将从国都证券5名股东手中受让共计19.15%的国都证券股权，将成为该券商第一大股东。　　新能源汽车板块走强　　新能源汽车板块早盘大幅走强，锂矿与整车方向领涨。截至午盘，申万能源金属指数半日大涨6.27%，寒锐钴业、华友钴业等收获涨停，赣锋锂业涨超8%；申万汽车指数涨2.82%，北汽蓝谷涨超7%，江淮汽车、金龙汽车涨幅在6%左右。　　能源金属板块早盘涨幅排名　　消息面上，据小米汽车微博，小米SU7上市24小时，大定达88898台。小米董事长兼CEO雷军3月31日在个人微博上称：“在小米SU7创始版的定购过程中，我们识别、拦截了部分异常订单和黄牛订单，因此将开启第二轮惊喜追加开售。”　　另据高工锂电发布的市场调研报告，3月份我国锂电行业无论是电池还是正极材料的排产量均呈现出明显的同环比恢复态势，并且超过了1月份的水平。基于此背景，4月份锂电行业的整体排产量预计还将环比增长约10%，显示出我国锂电产业链在经历了市场调整后正步入快速复苏通道。　　根据调研数据，4月份主要碳酸锂生产企业合计产量预计环比增长超过25%，头部企业的单月排产增速甚至逼近70%。这一数据揭示了行业内不同企业间的排产增速差距显著，头部企业凭借技术和产能优势，正全力加速生产以满足市场对碳酸锂日益增长的需求。　　贵金属板块冲高回落　　早盘，以黄金为代表的贵金属板块冲高回落。赤峰黄金早盘涨幅一度超过7%，截至午盘涨幅收敛至4.4%。湖南黄金、中金黄金、金贵银业则震荡翻绿。　　贵金属板块早盘表现　　早盘，现货黄金价格再度冲高，最高触及2260美元/盎司，再创历史新高。国内黄金零售价也水涨船高，上周末，多家品牌金店的首饰金挂牌价达到每克686元，逼近700元关口。　　现货黄金价格走势　　美联储主席鲍威尔近日在一场活动中表示：很高兴看到一些数据符合预期，早些时候发布的最新核心PCE通胀数据“基本符合我们的预期”。他的言论基本再度确定了美联储今年降息的整体基调。　　金瑞期货表示，美联储议息会议确认了较为鸽派的政策路径，宽松的政策预期对贵金属价格起到了持续的支撑。此外，当前国际政治局势风险加大，避险情绪也是贵金属的重要支撑。从中长期角度来说，美国目前正处于政策紧缩周期尾声，并面临经济持续回落的压力。在降息预期和避险情绪发酵之下，贵金属的长期配置价值持续显现，预计未来仍有上涨动力。但考虑到降息仍有一定时间，且此前金银价格涨幅较大，已经出现一定超涨迹象，行情上方空间或有限。此外，白银受工业与投机属性影响，波动预计大于黄金，且可能存在补涨机会。责任编辑：王涵 24小时滚动播报最新的财经资讯和视频，更多粉丝福利扫描二维码关注（sinafinance）新浪财经意见反馈留言板
新浪简介|广告服务|About Sina

联系我们|招聘信息|通行证注册

产品答疑|网站律师|SINA English
Copyright © 1996-2024 SINA CorporationAll Rights Reserved 新浪公司 版权所有
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
    * 金融
    * 市场监督
    * 企业
    * 财政
        * 审计
        * 会计
    * 税务
    * 证券
        * 股票
        * 债券
        * 基金
        * 期货
    * 银行
    * 收藏
* 房产
    * 公积金
    * 房企
    * 租房
    * 购房
        * 二手房
        * 新房
    * 家居
        * 装修
    * 政策性住房
        * 政策性住房
        * 公租房
        * 廉租房
        * 经适房
        * 共有产权房
        * 限价房
    * 住房改革
* 教育
    * 教育政策
    * 教育资讯
    * 教师
        * 教师资格
        * 教师待遇
    * 升学考试
        * 入学
        * 幼升小
        * 小升初
        * 中考
        * 学业水平等级考试
        * 高考
        * 专升本
        * 研究生考试
        * 学位认证
    * 学前教育
        * 幼儿园
        * 学前班
    * 义务教育
        * 小学
        * 初中
    * 中等教育
        * 高中
        * 职高
        * 中专
    * 高等教育
        * 高校
        * 本科
        * 专科
        * 硕士
        * 博士
    * 成人教育
        * 成人高考
        * 自考
    * 技能教育
    * 民办教育
* 军事
    * 军人
        * 征兵
        * 退伍
    * 军情
    * 武器
* 科技
    * 科普
    * 互联网
    * 人工智能
    * 区块链
    * 家电
    * 数码
    * 航空
    * 信息技术
    * 通信
    * 能源
    * 医疗
    * 生物
* 民生
    * 三农
        * 农业
        * 农村
        * 农民
        * 乡村振兴
    * 物流
    * 交通出行
        * 公交
        * 地铁
        * 轮渡
        * 出租车
        * 共享单车
        * 铁路
        * 航空
        * 路况
        * 高速
        * 限行
        * 限号
        * 车牌摇号
        * 车牌拍卖
    * 天气
    * 市政建设
        * 基础建设
        * 城建
    * 民生保障
        * 供水
        * 供电
        * 天然气
        * 供暖
    * 社会保障
        * 社保
        * 失业保险
        * 养老保险
        * 医疗保险
        * 工伤保险
        * 生育保险
        * 个人养老金
        * 扶贫
        * 社会救助
        * 最低生活保障
    * 劳动就业
        * 招聘
        * 就业
        * 失业
        * 劳动保护
        * 工资
        * 创业
        * 公务员
        * 编制
        * 职场
    * 消费券
* 社会
    * 环保公益
    * 社会组织
    * 社区
    * 公共安全
    * 自然灾害
    * 意外事故
    * 正能量
    * 食品安全
    * 人口
* 汽车
    * 买车
    * 二手车
    * 新车
    * 用车
    * 驾考
    * 车主服务
    * 新能源汽车
    * 汽车资讯
* 时政
    * 国内时政
    * 国际时政
    * 外交
    * 港澳台
    * 政府相关（具体的政府部门）
        * 人事任免
    * 政策
    * 法制
        * 法律法规
        * 违法
    * 纪检
* 体育
    * 篮球
    * 足球
    * 乒羽
    * 马拉松
    * 综合体育
    * 运动会
    * 体育组织
* 文旅
    * 文化
        * 人文
        * 文学
        * 传统文化
        * 文化遗产
    * 历史
        * 考古
        * 世界史
        * 古代史
        * 近代史
        * 党史
    * 旅游
        * 春游
        * 秋游
        * 亲子游
        * 出境游
        * 国内游
        * 自驾游
        * 旅游攻略
        * 自由行
        * 一日游
    * 节日
        * 春节
        * 元宵节
        * 情人节
        * 妇女节
        * 清明节
        * 劳动节
        * 端午节
        * 七夕
        * 中秋节
        * 重阳节
        * 国庆节
        * 万圣节
        * 圣诞节
        * 元旦
    * 艺术
        * 书法
        * 乐器
        * 摄影
        * 收藏
        * 曲艺
        * 绘画
        * 舞蹈
        * 设计
        * 雕塑
    * 文化场馆
        * 图书馆
        * 博物馆
        * 档案馆
        * 艺术馆
        * 文化馆
        * 纪念馆
* 休闲娱乐
    * 时尚
    * 影视
        * 明星
        * 电影
        * 电视剧
        * 综艺
        * 晚会
        * 演出
        * 动漫
        * 纪录片
    * 音乐
    * 美食
    * 游戏
        * 电竞
    * 彩票
    * 健身
    * 颜值
    * 搞笑
    * 命理
    * 情感
        * 两性
    * 宠物
    * 小说
* 健康
    * 医疗
        * 预防接种
        * 疫病预防
        * 食品安全
        * 健康保健
        * 疾病
        * 药品
    * 心理
    * 育儿
    * 医美
* 其他

```
这篇新闻涵盖了多个内容，请只对文字描述最多的内容进行分析：
1. 对新闻按照新闻类别表进行分类
2. 只返回文字最多领域的分类
3. 返回格式：'['一级分类', '二级分类', '三级分类']
