以下被三个反引号包含的是一篇新闻：
```
 市区联动 湖北鄂州完成2024鄂州梁子湖半程马拉松赛事食品安全保障工作　　本网讯（记者 熊家明 通讯员 李波 陈波）3月31日，“2024鄂州梁子湖半程马拉松”开跑，约1.2万名马拉松爱好者以奔跑的活力姿态共赴“春天之约”。湖北鄂州市市场监管局聚焦赛事保障，提前谋划，周密部署，完成了赛事期间食品安全保障工作。　　提前谋划部署。“开跑”前一周，鄂州市市场监管局协调有关部门及赛事主办方，针对赛事特点制定周密翔实的食品安全保障方案，鄂州市梁子湖区市场监管局抽调精干力量组成驻点监督组、巡查保障组、应急协调组，将食品安全保障责任落实到岗到人。　　强化监督指导。执法人员提前进场，做好赛前食品检查工作和应急处置准备工作。在检查过程中，执法人员向主办方提出食品安全相关指导意见，对相关定点接待酒店实行全程驻点保障，重点对定点接待酒店原料采购与贮存、食品留样、餐饮具清洗消毒、规范加工制作、厨房环境卫生等进行全程监督，确保参赛人员饮食安全。　　全程跟踪巡查。赛事举办期间，执法人员按照保障方案对赛事起、终点及沿线各个补给点开展“驻点保障+重点巡查”工作，对补给点食品进行全程跟踪监督检查，对提供赛道沿途补给、志愿者餐食、美食展示区、梁子湖沿湖大道周边及沿线等食品安全风险隐患开展排查整治，紧盯现场重点环节，为工作人员和参赛者营造安全放心的饮食环境。　　“2024鄂州梁子湖半程马拉松”已落幕，鄂州市市场监管局全方位落实各项保障措施，为赛事期间食品安全保障工作交上了圆满的“答卷”。　　初审：李松   责任编辑：肖之涵   审核：彭宗璐  热点专题该如何看待饮料“营养分级” 近日，上海市疾控中心称，为引导公众健康饮食，该中心研制的饮料“营养选择”分级标识在上海开始试行。据悉，该分级标识通过ABCD四个等级，指标数据包括非乳源性糖、饱和脂肪、反式脂肪、非糖甜味剂情况，从A到D级推荐程度递减，帮助消费者避开高糖...食品标签，马虎不得 食品标签玩“文字游戏”和“包装游戏”？生产日期难辨认，字密又小还被遮挡，翻看几遍都找不着踪迹；配料表信息存争议，标注“零添加”却还是含有添加剂……记者调查发现食品标签的标注存在诸多问题。 外包装的标签就是食品的“身份证”，上面记载着生... 热点排行
	互联网新闻信息服务许可证
	
		编号10120210003
	

	广播电视节目制作经营许可证（京）字第09318号

	中国食品报社版权所有，未经书面授权禁止使用

	Copyright © 2012-2018 by cnfood.cn. All rights reserved

	法律顾问服务：北京爱申律师事务所  彭殷庆 （高级合伙人）律师13718820003
	


			京公网安备 11010602130071号
		
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
    * 金融
    * 市场监督
    * 企业
    * 财政
        * 审计
        * 会计
    * 税务
    * 证券
        * 股票
        * 债券
        * 基金
        * 期货
    * 银行
    * 收藏
* 房产
    * 公积金
    * 房企
    * 租房
    * 购房
        * 二手房
        * 新房
    * 家居
        * 装修
    * 政策性住房
        * 政策性住房
        * 公租房
        * 廉租房
        * 经适房
        * 共有产权房
        * 限价房
    * 住房改革
* 教育
    * 教育政策
    * 教育资讯
    * 教师
        * 教师资格
        * 教师待遇
    * 升学考试
        * 入学
        * 幼升小
        * 小升初
        * 中考
        * 学业水平等级考试
        * 高考
        * 专升本
        * 研究生考试
        * 学位认证
    * 学前教育
        * 幼儿园
        * 学前班
    * 义务教育
        * 小学
        * 初中
    * 中等教育
        * 高中
        * 职高
        * 中专
    * 高等教育
        * 高校
        * 本科
        * 专科
        * 硕士
        * 博士
    * 成人教育
        * 成人高考
        * 自考
    * 技能教育
    * 民办教育
* 军事
    * 军人
        * 征兵
        * 退伍
    * 军情
    * 武器
* 科技
    * 科普
    * 互联网
    * 人工智能
    * 区块链
    * 家电
    * 数码
    * 航空
    * 信息技术
    * 通信
    * 能源
    * 医疗
    * 生物
* 民生
    * 三农
        * 农业
        * 农村
        * 农民
        * 乡村振兴
    * 物流
    * 交通出行
        * 公交
        * 地铁
        * 轮渡
        * 出租车
        * 共享单车
        * 铁路
        * 航空
        * 路况
        * 高速
        * 限行
        * 限号
        * 车牌摇号
        * 车牌拍卖
    * 天气
    * 市政建设
        * 基础建设
        * 城建
    * 民生保障
        * 供水
        * 供电
        * 天然气
        * 供暖
    * 社会保障
        * 社保
        * 失业保险
        * 养老保险
        * 医疗保险
        * 工伤保险
        * 生育保险
        * 个人养老金
        * 扶贫
        * 社会救助
        * 最低生活保障
    * 劳动就业
        * 招聘
        * 就业
        * 失业
        * 劳动保护
        * 工资
        * 创业
        * 公务员
        * 编制
        * 职场
    * 消费券
* 社会
    * 环保公益
    * 社会组织
    * 社区
    * 公共安全
    * 自然灾害
    * 意外事故
    * 正能量
    * 食品安全
    * 人口
* 汽车
    * 买车
    * 二手车
    * 新车
    * 用车
    * 驾考
    * 车主服务
    * 新能源汽车
