以下被三个反引号包含的是一篇新闻：
```



中国政府网|
                湖北政府网|
                武汉政府网|
                繁体|
                无障碍阅读 
|
                登录|
                注册
2023年,市城建局坚持以习近平新时代中国特色社会主义思想为指导，深化落实党的二十大精神，全面贯彻习近平法治思想，扎实推进法治政府建设。现将有关情况汇报如下：一、加强党对法治政府建设的集中统一领导领导班子统一领导谋划落实法治政府建设。把习近平法治思想、法律法规学习列入重点内容。将法治政府建设纳入局发展总体规划和年度工作计划，与业务工作同部署、同推进、同督促、同考核、同奖惩。全面、及时掌握局法治政府建设工作动态。坚持运用法治思维和法治方式深化改革、推动发展、化解矛盾、维护稳定，将各项工作纳入法治化轨道。二、不断加强依法行政制度体系建设加强行政规范性文件监督管理。及时开展备案审查和清理工作。完善行政规范性文件制定和监督管理，建立程序完备、权责一致的行政规范性文件合法性审核机制。紧密结合工作实际制定制度文件，提高公众参与度。除依法需要保密的外，一律向社会公开征求意见，使成文制度具有针对性、适用性和可操作性。完善依法行政程序。充分发挥法律顾问作用，听取合法性审查机构意见和法律顾问意见，建立健全跟踪反馈和评估制度，不断强化规范化建设。三、规范公正文明执法，提升执法能力推进行政执法权责统一、权威高效。全面推行行政执法公示，行政处罚、行政许可事项依据、条件、程序均以权力清单形式公示在湖北省人民政府网站及湖北省政务网。推进执法全过程记录，做到行政执法活动文字记录合法规范、客观全面、及时准确，系统归档保存，执法全过程留痕和可回溯管理。推进重大执法决定法制审核，重大执法决定法制审核制度执行率100%。落实行政执法责任，建立行政执法日常检查监督机制。加强行政执法人员管理，实行行政执法人员持证上岗和资格管理，组织开展行政执法培训专题讲座、专业技术人员培训授课。通过“法宣在线”网络课堂开展专题培训，积极推进无纸化学法用法“网学网考”。四、依法履行职能，打造法治化营商环境深化简政放权、优化服务，行政许可均已发布在湖北政务网并对外公示。全面推进“双随机、一公开”监管工作，全年完成部门抽查计划事项13项、联合计划抽查事项6项。认真开展公平竞争审查，明晰审查流程，明确职责分工，定期清理存量政策，对新出台政策应审尽审。五、强化制约和监督，加大规范行为力度自觉接受党内监督、民主监督、司法监督，认真研究办理人大代表和政协委员提出的意见和建议。全面推进政务公开，实行政务公开清单管理制度，并动态更新。强化行政机关负责人出庭应诉工作，开展行政机关领导干部、执法人员旁听人民法院庭审活动。六、加强法治思维和依法行政能力培训将普法工作责任化、制度化，抓稳抓实，不断提高本局干部职工运用法治思维和法治方式，依法履职、依法行政能力。定期报送《以案释法》，在实践中学法用法，深入推进依法行政。
主办 : 武汉市城乡建设局
地址 : 江汉区常青路45号武汉建设大厦
网站地图

咨询电话 : 027-85730552

鄂公网安备42010302000126号
鄂ICP备20005834号
政府网站标识码：4201000050
您访问的链接即将离开“”门户网站 是否继续？
```

下面三个反引号包含的是新闻类别表，代表新闻的一级分类、二级分类、三级分类：
```
* 财经
    * 宏观经济
        * 就业率
        * 失业率
    * 财经人物
    * 实体经济
    * 货币
    * 贸易
    * 产业
    * 商业
        * 采购
        * 招标
        * 投标
    * 金融
    * 市场监督
    * 企业
    * 财政
        * 审计
        * 会计
    * 税务
    * 证券
        * 股票
        * 债券
        * 基金
        * 期货
    * 银行
    * 收藏
* 房产
    * 公积金
    * 房企
    * 租房
    * 购房
        * 二手房
        * 新房
    * 家居
        * 装修
    * 政策性住房
        * 政策性住房
        * 公租房
        * 廉租房
        * 经适房
        * 共有产权房
        * 限价房
    * 住房改革
* 教育
    * 教育政策
    * 教育资讯
    * 教师
        * 教师资格
        * 教师待遇
    * 升学考试
        * 入学
        * 幼升小
        * 小升初
        * 中考
        * 学业水平等级考试
        * 高考
        * 专升本
        * 研究生考试
        * 学位认证
    * 学前教育
        * 幼儿园
        * 学前班
    * 义务教育
        * 小学
        * 初中
    * 中等教育
        * 高中
        * 职高
        * 中专
    * 高等教育
        * 高校
        * 本科
        * 专科
        * 硕士
        * 博士
    * 成人教育
        * 成人高考
        * 自考
    * 技能教育
    * 民办教育
* 军事
    * 军人
        * 征兵
        * 退伍
    * 军情
    * 武器
* 科技
    * 科普
    * 互联网
    * 人工智能
    * 区块链
    * 家电
    * 数码
    * 航空
    * 信息技术
    * 通信
    * 能源
    * 医疗
    * 生物
* 民生
    * 三农
        * 农业
        * 农村
        * 农民
        * 乡村振兴
    * 物流
    * 交通出行
        * 公交
        * 地铁
        * 轮渡
        * 出租车
        * 共享单车
        * 铁路
        * 航空
        * 路况
        * 高速
        * 限行
        * 限号
        * 车牌摇号
        * 车牌拍卖
    * 天气
    * 市政建设
        * 基础建设
        * 城建
    * 民生保障
        * 供水
        * 供电
        * 天然气
        * 供暖
    * 社会保障
        * 社保
        * 失业保险
        * 养老保险
        * 医疗保险
        * 工伤保险
        * 生育保险
        * 个人养老金
        * 扶贫
        * 社会救助
        * 最低生活保障
    * 劳动就业
        * 招聘
        * 就业
        * 失业
        * 劳动保护
        * 工资
        * 创业
        * 公务员
        * 编制
        * 职场
    * 消费券
* 社会
    * 环保公益
    * 社会组织
    * 社区
    * 公共安全
    * 自然灾害
    * 意外事故
    * 正能量
    * 食品安全
    * 人口
* 汽车
    * 买车
    * 二手车
    * 新车
    * 用车
    * 驾考
    * 车主服务
    * 新能源汽车
    * 汽车资讯
* 时政
    * 国内时政
    * 国际时政
    * 外交
    * 港澳台
    * 政府相关（具体的政府部门）
        * 人事任免
    * 政策
    * 法制
        * 法律法规
        * 违法
    * 纪检
* 体育
    * 篮球
    * 足球
    * 乒羽
    * 马拉松
