以下被三个反引号包含的是一篇新闻：
```
著名作家、学者齐邦媛于3月28日凌晨1时逝世，享年100岁。距离她刚刚过完百岁生日，仅仅一个月。1924年2月19日，齐邦媛生于辽宁铁岭，武汉大学外文系毕业，1947年到台湾，1968年赴美国印第安纳大学研究，1969年出任中兴大学新成立之外文系系主任，1988年从台湾大学外文系教授任内退休，受聘为台大荣誉教授迄今。曾任美国圣玛丽学院、旧金山加州州立大学访问教授，德国柏林自由大学客座教授。教学、著作，论述严谨；编选、翻译、出版文学评论多种，对引介西方文学到台湾，将台湾代表性文学作品英译推介至西方世界，卓有贡献。很多人认识齐邦媛，是从一本巨著开始——《巨流河》。从东北到台湾，一个女人的一生，埋藏了一个世纪的两岸悲伤——这是一部让无数人泪流满面的书。

据说，俞敏洪看完本书痛哭流涕。历时四年，齐邦媛在其80岁时写作完成《巨流河》，其以缜密通透的笔力，从大陆巨流河写到台湾哑口海，以一个奇女子的际遇见证了纵贯百年、横跨两岸的大时代的变迁。书中有两条主线：一是借着父亲齐世英的经历，串联起一代铮铮铁汉们在侵略者炮火下头可抛、血可洒的气概与尊严；一是从自己诞生、童年写起，战火中逃离至重庆，八年间受南开中学与武汉大学教育，受业于名师，得文学启蒙，大学毕业后落脚台湾展开学术事业，成为台湾文学推手。《巨流河》出版之后，齐先生收到数百封来信，几位已90多岁。他们老泪纵横谈当年事，那虽是一个令人悲伤的时代，也是一个令人怀念的有骨气时代。她的学生、著名作家简媜以“一出手，山河震动”来形容此书的份量。因为她所经历的绝不仅仅是个人的命运，还有一个民族的命运，那个让齐邦媛引以为荣，真正存在过的，最有骨气的中国。

《巨流河》节选——身世：我的家在松花江上巨流河是清代称呼辽河的名字，1924年元宵节，我生在辽宁铁岭。那个年代初生婴儿的夭折率很高，我先天体弱，快满周岁时有一回高烧不退，眼看要断气了。祖母差家里的长工连夜到十里外的镇上，找到一位医生将我救活。母亲对医生说：“孩子爸爸在德国念书，还没有给她取名字。”于是这位医生为我取名“邦媛”。铁岭齐家算是中等大户，祖父齐鹏大在奉军里做到旅长，对张作霖忠心耿耿。父亲齐世英却是个读书人，十八岁考取官费到日本留学，二十二岁又到柏林。母亲裴毓贞和父亲同龄，十九岁嫁到齐家后，便一直恪守妇道，伺候公婆，抚育儿女，十年不出家门。父亲二十六岁归国，在沈阳遇到祖父的好友郭松龄将军，相谈投缘。两人都厌倦了军阀混战，对张作霖治下的东北局势也深感忧虑。1925年11月，郭松龄通电请张作霖停战下野，张不予回复，郭便率军攻打，父亲也参加了郭松龄的“叛军”。郭军一路夺下葫芦岛和锦州，直逼沈阳。那年冬天的巨流河畔，两军对峙三日，郭松龄终于兵败。他不愿骑快马独自逃生，被奉军部队追上，就地枪决。当时父亲逃到新民市的日本领事馆躲避追杀，终于在半年后寻机逃出东北，辗转经朝鲜、日本逃到上海，1926年加入国民党。蒋介石接见他时说：“你不像东北人。”父亲在南京安顿下来后，母亲终于跨出家门，带着我和哥哥前去投奔父亲。幼小的我就在那时告别了巨流河。记得马车出了村口，路旁见一排排秃山，怪石嶙峋。我问母亲：“这叫什么山？”母亲正在前途未卜的惶恐中，随口答道：“鬼哭狼嚎山。”我们出山海关到北平，转津浦铁路，火车走了三天两夜，到达南京下关车站。我看到英俊而陌生的父亲站在月台上，等着迎接他聚少离多的妻儿。我在南京入读鼓楼小学，那是1937年之前的“黄金十年”，城里给我的印象是处处充满希望，我们小学生还去街上贴标语：“不许吐痰”、“振作图强”。父亲在中央政府任职，有一次我上学路上，不小心踩到泥泞里，棉鞋陷住。这时一辆汽车开过来停下，里面坐着我的父亲。他叫司机出来把我的鞋拔出来，然后他们就开车走了。晚上回家，父亲教育我，小孩子不可以坐公务车上学，一则须知公私分明，再则不可以炫耀。我深深地记住了他的名字我哥哥随中山中学由北平迁到南京之后，每个星期六中午会带五六个同学回家。吃过晚饭，他们坐江南铁路的火车回板桥，哥哥在家住一晚。 每星期招待他们吃饭是我母亲的快乐，她觉得每个没有家的东北孩子都是她的孩子。在南迁之后、抗战八年之中，所有中山学生都是没家的孩子，差不多每个人都有凄楚的故事。 

齐邦媛与父母兄妹张大非初到我家的时候，没有人注意他。他静静地坐着，很少说话，也不参加游戏。吃饭时，妈妈总叫他坐在她旁边，不断地给他夹菜。 在这之前，我只知道爸爸要哥哥去找一位姓张的学生——他的父亲在满洲国成立之初是沈阳县警察局局长，因接济且放走了不少地下抗日同志，被日本人 在广场上浇油漆烧死。 哥哥终于在同学中找到了他。他比我哥哥大三岁，除了打篮球，不参加任何课外活动，也很少与人说话。透过那一年毕业和他一起打球的撑竿跳国手符保卢知道他的身世，哥哥才找到他。 那一年过年除夕，他们留在学校，全校包饺子过年。初二下午，张大非与哥哥回我家。当天外面开始下雪，很冷，屋子里生了火，饭后坐在壁炉边，妈妈问他离开家乡的情况。

张大非他说他父亲被烧死之后，在日本人追杀之前，一家八口四散逃亡；他与一个弟弟、妹妹连夜逃往营口投奔姑姑，进了一所教会办的中学，每天早上学校有早祷会，由“主祷文”开始：“我们在天上的父，愿人尊父的名为圣，愿父的旨意行在地上如同行在天上。我们日用的饮食，求主赐给我们……”在这里他可以尽情求告一个父亲的保护和爱，于是他信奉了基督教。 第二年“满洲国”成立，日本推行皇民化教育，他已十五岁，一个人进关，到北平投奔叔叔。失学了一年，叔叔家也不适久住。那时在北平、天津街上流落的东北青年很多，冬天街旁常有因寒冷饥饿倒下的人。 有一天，他在极端困顿中在报国寺旁游荡，看到院子里搭了几个帐篷，庙门上贴着“国立中山中学”招收东北流亡学生的布告。他考取了初三，入学后全体学生食宿一切公费，从此有了安身之所。 

国立东北中山中学门口集体合照学校功课水准很高，原以为自己有了前途，谁知过了两年，华北在日本由满洲国进逼之下已风雨飘摇，渐渐岌岌可危，中山中学被迫南迁。离开北平时，只能辗转告诉在家乡却已无家可言的母亲，将随学校南迁，到了南京板桥却始终得不到母亲的消息…… 我永远记得那个寒冷的晚上，我看到他用一个十八岁男子的一切自尊忍住号啕，在我家温暖的火炉前，叙述家破人亡的故事——和几年前有个小男孩告诉我他爸爸的头挂在城门上一样悲惨。 窗外，妈妈种的几棵小树在风雪中摇晃，弯得近于折断。自此，我深深地记住了他的名字。从此，每个星期六午后，我会在哥哥那群喧闹的同学中，期待他那忧郁温和的笑容。他最喜欢带我那三岁的大妹妹到院子里玩，有时帮妈妈抱襁褓中的二妹，偶尔会到我常坐的椅子旁看我新买的书。有一次，他带来他自己的那本小小的、镶了金边的圣经给妈妈和我看，说这是离家后唯一的依靠。当时我虽不懂，但多年后我明白，为什么在他淡淡的落寞中有一种和平、宁静，我似乎又找到了一本深奥待解的书，很有吸引力，可是他又随身带走了。那一年初春，中山中学大门外面盖了一些小平房，很小的木架泥墙小房子。妈妈每星期去住四五天，因为她又怀孕了，很喜欢再过一过乡村生活，每天可以种些菜。此外，另几家东北出来的老师家眷，更能慰解她的真正乡愁。 我每周末也会去板桥，可以满山遍野跑一跑，好似回到六岁前的童年。张大非常常来，他最喜欢抱我那两个妹妹，看我妈妈做家事，仍然很少说话。

齐邦媛与妹妹 有一天吃过中饭，哥哥和七、八个同学说要去爬不远处的一座小山，牛首山。我看着那山羡慕许久了，就追着赶上跟了去。 下午四点钟开始下山的时候，突然起了风，我比他们走得慢，渐渐一个人落后了。哥哥和那些大男生已跑下山，我仍在半山抱着一块小岩顶，进退两难。山风吹着尖锐的哨音，我在寒风与恐惧中开始哭泣。这时，我看到张大飞在山的隘口回头看我。 天色渐渐暗了，他竟然走回头，往山上攀登，把我牵下山。到了隘口，他用学生的棉大衣裹住我三十多公斤的身躯，说：“别哭，别哭，到了大路就好了。”他眼中的同情与关怀，是我这个经常转学的十二岁边缘人很少看到的。回到家，哥哥对妈妈说：“以后再也不许她跟着我！那么小座山，她上去那么慢，又下不来，动不动就哭，烦死人了。” 初夏，我们搬回南京城里，妈妈待产。 我们的一生和中国的命运不久就全变了，我再也没有回到那小屋子的缘分。 数十年间，我在世界各地旅行，每看到那些平易近人的小山，总记得他在山风里由隘口回头看我。再也没有见过他一面因为战事，我们开始搬家。母亲因旅途折腾，在船上大量出血，十八个月大的妹妹吐泻不止，船到汉口，她们住进医院。妹妹没救过来，第五天早上离开了我们。我一个人站在母亲病房门口，听着舅舅呼唤昏迷中的母亲，感到寒冷、孤单、惊恐。这时，张大非从大门进来，跑着过来。我刚停的眼泪又倾泻而出，对他说：“妹妹死了，我妈也要死了！”他走进病房，在床前跪下，俯首祈祷。当他走出来时，对我说：“我已经报名军校，改名叫大飞，十一点钟要去码头集合，临走一定要看看妈妈，你告诉哥哥，我能写信时会立刻写信给你们。”接着，他拿出一个小包放在我手里说：“你好好保存着吧，这是我要对你说的话。”然后他疾步走出了医院大门。在书的扉页上，他写着：邦媛妹妹：愿永生的上帝，永远地爱你，永远地与你同在，祝福你那可爱的前途光明，使你永远活在快乐的园里……在那一天之前，没有任何人用“可爱的前途”对我病弱磨难的生命有过如此的祝福。我们到湘乡后两个月，哥哥收到张大飞由入伍训练基地写来的信。信中，他说明从军的理由：“我已经十九岁了，毕业时超过二十岁，到时不一定考得上公立大学。日本人把我们逼成这样，我也没有心情念书或等待一个没有把握的未来。我家有三个哥哥和弟弟，我如今如愿考进了空军官校，可以真正报效国家，为我父亲报仇。”在那个写信是唯一通讯方式的时代，沙坪坝六年，张大飞成了我最稳定的笔友。他每周用浅蓝航空信纸写信来，他的家人一直联络不上，他说，我们就是他唯一可报平安的家人了。他写信如写家书，我因此万分感动，必回他的信，那些信如果带出来了，当是多么可贵的战时青年成长史！我们那样诚挚、纯洁地分享各自的成长经验，如同两条永不能交会的平行线。他的成长是在云端，在火网中作生死搏斗；而我却只能在地面上逃警报，在灾祸中哭泣。他的生活何等辉煌，而我只有中学女生那一片小小的天地。我上了高中，他已身经百战，信中内容也比以前初中生活大为拓宽。凡是校内一切有意义的活动，周会的名人演讲，我办的壁报，寄前线战士慰劳信，为轰炸后重建新居的捐款活动等，他都很有兴趣。在战火中他已成长，开始他丰实的一生（如果那能称为“一生”），这一切因为他被挑选参加了陈纳德的飞虎队，与美国志愿军并肩抵御日本侵略武装。信件中他的语气全是英雄气概，充满了张校长演讲勉励我们“中国不亡，有我！”的气概。

中美空军混合大队张大飞被选为第一批赴美受训的中国空军飞行员。一九四二年夏天，他由美国科罗拉多州受训回国，与十四航空队组成中美混合大队。回国后他到沙坪坝我家，新晋阶中尉的制服领上飞鹰、袖上两条线，走路真是有精神！此次告别，他即往昆明报到。他信上说，从街的这一头可以看见那一端，小铺子里有玻璃罐子，装着我大妹四岁时在逃难路上最爱吃的糖球。飞行员休假时多去喝酒，他不喝就被嘲笑。有一次喝了一些就醉了，跳到桌子上大唱“哈利路亚......”从此没人强迫他喝，更劝不动他去跳舞，在朝不保夕的人眼中，他不肯一起去及时行乐，实在古怪。在战火燎烧、命如蜉蝣的大时代里，他是所有少女憧憬的那种英雄，是一个远超过普通男子、保卫家国的英雄形象，是我那样的小女生不敢用私情去“亵渎”的巨大形象。高二暑假，他回重庆小住，吃过中饭，我带着他穿过中大校园去看嘉陵江岸我那块悬空小岩洞。太阳耀眼，江水清澄，我们坐在那里说我读的课外书，说他飞行所见。在那个室外人生般的江岸，时光静静流过，我们未曾一语触及内心，更未及情爱。他又回到云南，一去近一年。一九四三年四月，我们正沉浸在毕业、联考的日子里。有一天近黄昏时，我们全都回到楼里准备晚餐了，一个初中女孩跑上来找到我，说有人在操场上等我。
